T,_,T,_,T,_,T,_,T,_,T,_,T,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,H,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,D,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
[1,0,0]
