T,_,T,_,T,_,T,_,T,_,T,_,T,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,M,_,_,_,_,_,T,_,_,_,_,_
_,_,_,M,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,T,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
T,_,_,_,_,_,_,_,_,_,_,_,_,_,T,_
_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_
